Hasil;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Frame;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R
27;"119,9708298";"166,5082581";"209,267771";"237,5394704";"262,2746652";"194,5044987";"211,1918559";"221,0203611";"227,7937664";"168,0773631";"194,3630623";"209,121974";"218,5634919";"141,9929576";"164,2832919";"178,0702109";"185,9516066";"116,7090399";"129,2439554";"140,388746";"149,1207564"
28;"121,0784869";"160,9627286";"199,0602924";"225,0088887";"249,8839731";"189,6549498";"206,7002661";"214,0373799";"219,2281916";"169,1862879";"195,9719368";"210,6466235";"218,3414757";"147,5025424";"170,425937";"182,8879438";"191,1256131";"124,9519908";"138,8524397";"148,4890568";"156,952222"
28;2;"19,31320792";"31,6227766";"35,90264614";"36,67424164";"7,211102551";"7,810249676";"8,94427191";"8,246211251";"4,123105626";"4,123105626";"2,236067977";4;"13,92838828";"16,15549442";"12,64911064";"10,44030651";"21,9317122";"23,70653918";"20,61552813";"17,08800749"
29;"4,472135955";2;1;"2,236067977";"3,16227766";"2,236067977";1;"1,414213562";"3,605551275";"2,828427125";"1,414213562";2;3;"4,472135955";"4,242640687";5;"6,403124237";"5,385164807";"5,830951895";"8,602325267";10
30;"4,242640687";"3,16227766";3;"2,236067977";"3,16227766";1;2;"4,242640687";"4,472135955";"2,236067977";"4,123105626";"6,32455532";"6,32455532";"4,472135955";"7,071067812";"9,219544457";"8,246211251";"8,485281374";10;"11,40175425";"13,45362405"
31;"129,6533841";"162,5423022";"193,8298223";"214,7580033";"232,9399064";"201,3752716";"217,1750446";"222,6499495";"227,0352396";"183,3575742";"195,7345141";"204,1568025";"210,2379604";"163,3676835";"176,2554964";"187,0962319";"192,1665944";"146,812806";"156,7194946";"168,0743883";"178,0112356"
33;"7,211102551";"14,86606875";"18,02775638";"22,82542442";"20,59126028";"23,70653918";"19,84943324";"12,08304597";"9,848857802";"21,84032967";"14,14213562";5;"2,236067977";"17,11724277";"12,36931688";"2,828427125";"3,605551275";"10,19803903";"7,810249676";"2,236067977";"6,32455532"
34;"53,81449619";"39,01281841";"35,84689666";"32,01562119";"27,01851217";"12,36931688";"11,18033989";3;"5,656854249";"27,45906044";"25,63201124";"31,06444913";"38,63935817";"52,20153254";"54,34151268";"60,01666435";"64,28063472";"76,55063684";"84,40379138";"87,32124598";"87,29833904"
36;"38,47076812";"58,30951895";"81,39410298";"86,76981042";"88,32326987";"91,67878708";"104,6231332";"110,2088926";"113,8112472";"70,60453243";"81,54140053";"84,11896338";"87,7268488";"53,16013544";"60,01666435";"54,91812087";"50,6359556";"43,68065934";52;"43,8634244";"40,16217126"
44;"341,8830209";"296,4203097";"262,606169";"246,0101624";"233,9081016";"296,7052409";"282,0638226";"250,8405868";"222,9910312";"322,5600719";"301,0946695";"268,6131047";"242,6211038";"346,4000577";"329,6209945";"299,8416249";"278,7723085";"369,4333499";"356,4000561";"336,4342432";"317,8332896"
